interval_start,region,demand_mw
2025-12-31 08:25:00,VIC1,3183.62
2025-12-31 08:30:00,TAS1,889.88
2025-12-31 08:30:00,NSW1,5405.09
2025-12-31 08:30:00,QLD1,4616.61
2025-12-31 08:30:00,SA1,739.88
2025-12-31 08:30:00,VIC1,3176.86
2025-12-31 08:35:00,NSW1,5278.49
2025-12-31 08:35:00,QLD1,4502.13
2025-12-31 08:35:00,SA1,721.44
2025-12-31 08:35:00,TAS1,890.26
2025-12-31 08:35:00,VIC1,3108.22
2025-12-31 08:40:00,NSW1,5248.22
2025-12-31 08:40:00,QLD1,4475.71
2025-12-31 08:40:00,SA1,671.04
2025-12-31 08:40:00,TAS1,875.88
2025-12-31 08:40:00,VIC1,3028.99
2025-12-31 08:45:00,NSW1,5187.94
2025-12-31 08:45:00,QLD1,4487.41
2025-12-31 08:45:00,SA1,637.07
2025-12-31 08:45:00,TAS1,866.73
2025-12-31 08:45:00,VIC1,2984.81
2025-12-31 08:50:00,TAS1,859.72
2025-12-31 08:50:00,NSW1,5127.97
2025-12-31 08:50:00,QLD1,4477.55
2025-12-31 08:50:00,SA1,585.63
2025-12-31 08:50:00,VIC1,3078.19
2025-12-31 08:55:00,NSW1,5061.41
2025-12-31 08:55:00,QLD1,4406.06
2025-12-31 08:55:00,SA1,551.04
2025-12-31 08:55:00,TAS1,856.98
2025-12-31 08:55:00,VIC1,3089.49
2025-12-31 09:00:00,NSW1,5065.29
2025-12-31 09:00:00,QLD1,4457.23
2025-12-31 09:00:00,SA1,512.86
2025-12-31 09:00:00,TAS1,833.14
2025-12-31 09:00:00,VIC1,3047.82
2025-12-31 09:05:00,NSW1,5044.0
2025-12-31 09:05:00,QLD1,4419.01
2025-12-31 09:05:00,SA1,485.14
2025-12-31 09:05:00,TAS1,821.56
2025-12-31 09:05:00,VIC1,2992.56
2025-12-31 09:10:00,NSW1,5163.65
2025-12-31 09:10:00,VIC1,2982.16
2025-12-31 09:10:00,QLD1,4414.22
2025-12-31 09:10:00,SA1,446.92
2025-12-31 09:10:00,TAS1,813.99
2025-12-31 09:15:00,NSW1,5293.89
2025-12-31 09:15:00,QLD1,4335.76
2025-12-31 09:15:00,SA1,430.87
2025-12-31 09:15:00,TAS1,820.07
2025-12-31 09:15:00,VIC1,2904.63
2025-12-31 09:20:00,NSW1,5330.7
2025-12-31 09:20:00,QLD1,4318.17
2025-12-31 09:20:00,SA1,444.9
2025-12-31 09:20:00,TAS1,822.02
2025-12-31 09:20:00,VIC1,2925.79
2025-12-31 09:25:00,NSW1,5320.48
2025-12-31 09:25:00,QLD1,4236.46
2025-12-31 09:25:00,SA1,376.94
2025-12-31 09:25:00,TAS1,828.12
2025-12-31 09:25:00,VIC1,2814.4
2025-12-31 09:30:00,NSW1,5203.21
2025-12-31 09:30:00,VIC1,2783.91
2025-12-31 09:30:00,QLD1,4190.47
2025-12-31 09:30:00,SA1,323.5
2025-12-31 09:30:00,TAS1,821.09
2025-12-31 09:35:00,NSW1,5230.52
2025-12-31 09:35:00,QLD1,4197.18
2025-12-31 09:35:00,SA1,371.56
2025-12-31 09:35:00,TAS1,814.55
2025-12-31 09:35:00,VIC1,2783.0
2025-12-31 09:40:00,NSW1,5318.86
2025-12-31 09:40:00,QLD1,4176.26
2025-12-31 09:40:00,SA1,320.59
2025-12-31 09:40:00,TAS1,802.0
2025-12-31 09:40:00,VIC1,2724.06
2025-12-31 09:45:00,NSW1,5393.59
2025-12-31 09:45:00,QLD1,4191.08
2025-12-31 09:45:00,SA1,313.6
2025-12-31 09:45:00,TAS1,789.57
2025-12-31 09:45:00,VIC1,2694.82
2025-12-31 09:50:00,NSW1,5451.37
2025-12-31 09:50:00,VIC1,2692.71
2025-12-31 09:50:00,QLD1,4147.61
2025-12-31 09:50:00,SA1,256.7
2025-12-31 09:50:00,TAS1,792.85
2025-12-31 09:55:00,NSW1,5532.77
2025-12-31 09:55:00,QLD1,4150.73
2025-12-31 09:55:00,SA1,259.9
2025-12-31 09:55:00,TAS1,788.12
2025-12-31 09:55:00,VIC1,2662.48
2025-12-31 10:00:00,NSW1,5581.96
2025-12-31 10:00:00,QLD1,4063.7
2025-12-31 10:00:00,SA1,219.07
2025-12-31 10:00:00,TAS1,786.37
2025-12-31 10:00:00,VIC1,2697.59
2025-12-31 10:05:00,NSW1,5637.81
2025-12-31 10:05:00,QLD1,4112.54
2025-12-31 10:05:00,SA1,217.07
